章节,标题,起始行,结束行,行数
1507,男女混合双打,247600,247762,163
1508,云荒沙海,247763,247937,175
1509,沉心圣佛,247938,248097,160
1510,一块陨石,248098,248263,166
1511,你们还是一起上吧,248264,248426,163
1512,强势压制,248427,248604,178
1513,无法靠近的陨石,248605,248752,148
1514,金光佛陀降临,248753,248891,139
1515,好戏现在才开始呢,248892,249072,181
1516,红云袈裟,249073,249259,187
1517,黑暗噬神领域，开,249260,249425,166
1518,想捡漏的骷髅佛帝,249426,249609,184
1519,灭骷髅佛帝,249610,249778,169
1520,补天神女不感兴趣?,249779,249920,142
1521,有好东西让大家看看,249921,250077,157
1522,那亮瞎眼的佛光该如何解释?,250078,250273,196
1523,方尘是转世佛陀,250274,250436,163
1524,叶空突破，准帝,250437,250614,178
1525,震惊的缥缈道友,250615,250792,178
1526,那陨石被方尘抢走了,250793,250934,142
1527,一炷香，三位准帝,250935,251109,175
1528,陨石掉皮了,251110,251341,232
1529,我是来送温暖的,251342,251513,172
1530,礼物已经送到了，你们慢慢享受吧!,251514,251721,208
1531,找大日佛帝对质,251722,251890,169
1532,该死的方尘，太损了,251891,252080,190
1533,我怎么变成光头了?,252081,252234,154
1534,叶青瓷醒了,252235,252424,190
1535,我很好，只是眼睛看不见而已,252425,252584,160
1536,准帝，叶青瓷,252585,252771,187
1537,带你去一个地方,252772,252931,160
1538,伤心的幽冥花,252932,253118,187
1539,吸收铜棺的力量,253119,253269,151
1540,古袈裟,253270,253438,169
1541,眼睛彻底恢复,253439,253619,181
1542,你不是说要趁热打铁吗?,253620,253764,145
1543,带小鹤回家,253765,253945,181
1544,进入黑暗森林,253946,254111,166
1545,光河的尽头,254112,254241,130
1546,珠子发芽,254242,254395,154
1547,两颗果实,254396,254549,154
1548,脑海中的佛像,254550,254715,166
1549,杀到你不念为止,254716,254890,175
1550,佛国又出现准帝了,254891,255080,190
1551,给云老送桃子,255081,255297,217
1552,今非昔比的狗头岭,255298,255421,124
1553,石皮大阵,255422,255599,178
1554,战佛回来了,255600,255786,187
1555,不是他死，就是我活,255787,255961,175
1556,他要单挑佛国吗?,255962,256112,151
1557,无边佛海,256113,256266,154
1558,把那些叛徒都杀死,256267,256390,124
1559,天竺城,256391,256565,175
1560,闯荡佛海,256566,256704,139
1561,金刚佛陀降临,256705,256864,160
1562,天佛塔,256865,257030,166
1563,金莲噬日,257031,257229,199
1564,在我面前玩吞噬?,257230,257389,160
1565,天劫咒,257390,257618,229
1566,终于有雷劈我了,257619,257787,169
1567,难道那方尘在演戏?,257788,257983,196
1568,真身暴露,257984,258161,178
1569,大帝佛帝的魔性分身,258162,258312,151
1570,阴阳金刚佛陀,258313,258511,199
1571,大日佛帝，败,258512,258689,178
1572,打破蛮荒大陆格局,258690,258819,130
1573,三葬佛帝,258820,259003,184
1574,新的国主,259004,259133,130
1575,回琉璃剑宗,259134,259272,139
1576,再入第九秘境,259273,259420,148
1577,无聊寂寞的秘境之主,259421,259589,169
1578,秘境之主的奇怪表现,259590,259755,166
1579,消失的关卡,259756,259930,175
1580,红色空间,259931,260096,166
1581,先疗伤，再报仇,260097,260232,136
1582,血色空间的神秘能量,260233,260380,148
1583,变红了,260381,260534,154
1584,轮回世界，不死族,260535,260715,181
1585,不死神王,260716,260881,166
1586,神之传承,260882,261035,154
1587,另外两位人族半神,261036,261219,184
1588,黑山王和天凰女,261220,261385,166
1589,他们为什么不跑?,261386,261551,166
1590,直接捏爆半神,261552,261732,181
1591,大家一起上吧,261733,261922,190
1592,八哥再显神通,261923,262067,145
1593,妖神降临,262068,262233,166
1594,我要弑神,262234,262402,169
1595,妖神出手,262403,262553,151
1596,神就这点实力吗?,262554,262722,169
1597,速度还是不够快,262723,262840,118
1598,黑暗噬神领域的新用法,262841,262988,148
1599,不交神器就弑神,262989,263130,142
1600,妖神断翅,263131,263302,172
1601,双重神力,263303,263459,157
1602,凤凰天火,263460,263604,145
1603,妖神陨落,263605,263767,163
1604,挑衅三大神级强者,263768,263948,181
1605,化身黑影,263949,264084,136
1606,天神降临,264085,264238,154
1607,方尘战天神,264239,264389,151
1608,冥神的箭,264390,264582,193
1609,深渊刀狱,264583,264772,190
1610,巨人追日，冲出刀狱,264773,264953,181
1611,快帮我拔剑,264954,265101,148
1612,一石砸三神,265102,265330,229
1613,先弄死冥神,265331,265520,190
1614,第二颗秘境源珠,265521,265728,208
1615,天神爆发，三种神力,265729,265921,193
1616,来自神王的威压,265922,266132,211
1617,远古时期没有不死族,266133,266310,178
1618,远古天庭还在?,266311,266458,148
1619,传授本领,266459,266600,142
1620,方尘前辈来自神界,266601,266772,172
1621,叶青瓷想炼器,266773,266995,223
1622,九个分身还没出来,266996,267188,193
1623,叶青瓷的炼器方法,267189,267363,175
1624,九个分身出来了,267364,267553,190
1625,英雄难过美人关,267554,267746,193
1626,陨石又喷能量了,267747,267966,220
1627,再战叶辰,267967,268126,160
1628,今日要让你有来无回,268127,268307,181
1629,法相天地，碧落玄黄,268308,268503,196
1630,叶青瓷和叶空也来了,268504,268705,202
1631,玄黄塔降临,268706,268886,181
1632,瓮中之鳖?,268887,269034,148
1633,叶青瓷和叶空的异样,269035,269224,190
1634,你们是逃不掉的,269225,269405,181
1635,石碑和雕像碎片,269406,269598,193
1636,一座古城,269599,269764,166
1637,进入古城,269765,269984,220
1638,空城?,269985,270159,175
1639,诡异石碑,270160,270328,169
1640,玄黄圣体觉醒,270329,270521,193
1641,叶家的人急了,270522,270666,145
1642,有本事你下来弄死我,270667,270817,151
1643,玄黄圣体第八变,270818,270929,112
1644,移花接木,270930,271098,169
1645,玄黄圣体第九变,271099,271342,244
1646,玄黄大帝,271343,271505,163
1647,蜕一次，多活一万年,271506,271641,136
1648,你竟然敢打我?,271642,271831,190
1649,玄黄塔控制权易主,271832,271994,163
1650,挖仙瞳,271995,272154,160
1651,融合寂灭仙瞳,272155,272284,130
1652,叶空的选择,272285,272456,172
1653,无人敢救,272457,272616,160
1654,永远是琉璃剑宗的人,272617,272776,160
1655,再临青草大阵,272777,272915,139
1656,全面开放青草大阵,272916,273051,136
1657,追日巨人的太阳被射了,273052,273196,145
1658,自带食材蹭火锅?,273197,273344,148
1659,终于吃上了,273345,273507,163
1660,寿元加速流失,273508,273688,181
1661,变成了一颗笋,273689,273860,172
1662,方尘的法相天地,273861,274008,148
1663,融合失败,274009,274198,190
1664,再次请教岳沧澜,274199,274352,154
1665,法相天地的运用方法,274353,274530,178
1666,目光要放长远一点,274531,274657,127
1667,琉璃剑宗的大手笔,274658,274787,130
1668,再进混沌空间,274788,274938,151
1669,方尘的修炼方向,274939,275062,124
1670,突破极限,275063,275225,163
1671,无法吸收的神秘能量,275226,275361,136
1672,法相天地与剑法融合,275362,275512,151
1673,诸神的黄昏,275513,275684,172
1674,黑天白地,275685,275847,163
1675,混沌噬心虫的法相天地,275848,276016,169
1676,天丝万缕,276017,276179,163
1677,佛土的神秘生命,276180,276336,157
1678,再临云荒沙海,276337,276481,145
1679,邪恶生物,276482,276626,145
1680,杀不死,276627,276768,142
1681,陨石坠落破坏了结界,276769,276913,145
1682,泥潭底下有大秘密,276914,277076,163
1683,神秘能量修复命轮,277077,277227,151
1684,全部灭杀,277228,277384,157
1685,战佛的道侣,277385,277553,169
1686,为何你能杀死它们?,277554,277734,181
1687,进入泥潭,277735,277882,148
1688,孕育邪恶生命的胚胎,277883,278084,202
1689,红色巨眼,278085,278265,181
1690,逃出泥潭,278266,278404,139
1691,修复通灵剑符,278405,278564,160
1692,重回万佛战经传承之地,278565,278730,166
1693,刻着石花的山壁,278731,278896,166
1694,方尘的大师兄,278897,279062,166
1695,二师兄叫崔易,279063,279234,172
1696,镇魔渊,279235,279364,130
1697,天佛帝的绝学,279365,279527,163
1698,中荒好像出事了,279528,279696,169
1699,天元学宫的召唤,279697,279895,199
1700,星空中的宫殿,279896,280094,199
1701,灵心宫主的年龄,280095,280251,157
1702,要提防魔族,280252,280426,175
1703,分配天魔散,280427,280619,193
1704,一定要死守镇魔渊,280620,280776,157
1705,镇魔渊的入口,280777,280933,157
1706,孤云佛帝,280934,281108,175
1707,青天魔帝的化身降临,281109,281280,172
1708,火璃圣人被俘,281281,281440,160
1709,灵心宫主召见,281441,281576,136
1710,大劫与魔族有关?,281577,281733,157
1711,生命禁区的由来,281734,281872,139
1712,黑色木鱼，降魔咒,281873,282002,130
1713,天元学宫的五色军团,282003,282159,157
1714,众人齐聚,282160,282286,127
1715,前往精灵大陆,282287,282461,175
1716,精灵圣女,282462,282609,148
1717,发放噬魔圣器和天魔散,282610,282748,139
1718,精灵女皇召见,282749,282932,184
1719,精灵女皇,282933,283077,145
1720,精灵大陆的现状,283078,283204,127
1721,方尘，不要吹牛呀,283205,283352,148
1722,展示一下手段,283353,283497,145
1723,精灵女皇的名字,283498,283645,148
1724,天魔散的威力,283646,283799,154
1725,重燃希望的精灵女皇,283800,283914,115
1726,要保护好方尘,283915,284113,199
1727,死也要死得有价值,284114,284264,151
1728,再次开炉炼器,284265,284451,187
1729,一根巨大的金色竹子,284452,284617,166
1730,这一次怎么长竹笋了?,284618,284783,166
1731,震惊精灵族强者,284784,284973,190
1732,新的天魔散,284974,285151,178
1733,精灵族大祭司,285152,285287,136
1734,这位魔帝好拽,285288,285474,187
1735,魔帝也扛不住,285475,285655,181
1736,让我过过瘾,285656,285842,187
1737,天玺魔帝,285843,286014,172
1738,发疯的魔族,286015,286222,208
1739,疯狂炼宝,286223,286367,145
1740,青天魔帝的决定,286368,286485,118
1741,趁机抓奸细,286486,286633,148
1742,要将魔族赶回去,286634,286775,142
1743,准备反攻,286776,286944,169
1744,反攻开始,286945,287119,175
1745,战场厮杀,287120,287282,163
1746,领域离体,287283,287454,172
1747,精灵圣女出手,287455,287593,139
1748,天魔头颅的封印之地,287594,287756,163
1749,魔族败退,287757,287895,139
1750,一点都不过瘾,287896,288043,148
1751,永恒圣果,288044,288230,187
1752,回去再渡劫,288231,288375,145
1753,精灵族的宝库,288376,288523,148
1754,一人一件极道帝兵,288524,288665,142
1755,黑暗精灵皇,288666,288804,139
1756,黑暗精灵神弓,288805,288955,151
1757,神弓认主,288956,289103,148
1758,黑暗精灵皇的往事,289104,289224,121
1759,箭惊四座,289225,289375,151
1760,精灵女皇的计划,289376,289508,133
1761,通往魔族大陆的通道,289509,289650,142
1762,一起去魔族大陆,289651,289786,136
1763,敢死军团,289787,289937,151
1764,海底通道入口,289938,290085,148
1765,黑色木鱼,290086,290245,160
1766,念咒的人爽，听咒的人痛苦,290246,290420,175
1767,连石头都受不了,290421,290619,199
1768,东山魔域,290620,290800,181
1769,弥天网,290801,290990,190
1770,紫阳魔帝,290991,291132,142
1771,紫阳魔帝的实力,291133,291265,133
1772,精灵族强者出手,291266,291425,160
1773,紫阳魔帝求救,291426,291567,142
1774,还要半个时辰,291568,291736,169
1775,八哥的法相天地显威,291737,291923,187
1776,反噬之力破封印,291924,292083,160
1777,痛苦的小纸鹤,292084,292267,184
1778,幻魔界的最深处,292268,292433,166
1779,天手圣人,292434,292572,139
1780,魔族第一灵植师,292573,292717,145
1781,天魔解体?等的就是你!,292718,292916,199
1782,黑狱魔帝求救,292917,293112,196
1783,万魔噬体,293113,293281,169
1784,吸收天魔大阵的力量,293282,293435,154
1785,镇压黑狱魔帝,293436,293607,172
1786,小鹤脱困,293608,293761,154
1787,青天魔帝救不了你,293762,293921,160
1788,青天魔帝的杀手锏,293922,294072,151
1789,火璃准帝出现,294073,294214,142
1790,你还是出现了,294215,294398,184
1791,方尘与青天魔帝的碰撞,294399,294567,169
1792,很幸运，赌赢了,294568,294706,139
1793,剑帝的传承,294707,294827,121
1794,开心的火璃准帝,294828,294963,136
1795,提升实力的新方法,294964,295114,151
1796,魔族的第一药师,295115,295238,124
1797,降临神族大陆,295239,295398,160
1798,神族女皇,295399,295546,148
1799,方尘的要求,295547,295658,112
1800,神月天轮,295659,295818,160
1801,先知神蝶,295819,295999,181
1802,红魔深渊,296000,296159,160
1803,找几个红魔王练练手,296160,296355,196
1804,红魔骨龙,296356,296515,160
1805,这骨龙太强了,296516,296657,142
1806,主人在和骨龙战斗,296658,296811,154
1807,斩杀骨龙,296812,296989,178
1808,遁天梭,296990,297185,196
1809,古禅佛帝,297186,297375,190
1810,欢迎火璃前辈回归,297376,297556,181
1811,秘境之主变强了,297557,297689,133
1812,接我三剑,297690,297855,166
1813,奖励九颗珠子,297856,298033,178
1814,在青草大阵炼器,298034,298205,172
1815,青草大阵被烧了,298206,298371,166
1816,彩色天魔散,298372,298546,175
1817,十重浪，难比上青天,298547,298685,139
1818,精灵女皇的传讯,298686,298851,166
1819,杀到魔族大陆去,298852,299038,187
1820,再次来到狗头岭,299039,299216,178
1821,一泡尿催生的金色竹林,299217,299349,133
1822,小六子的绝技,299350,299524,175
1823,浮仙道友诚不欺我,299525,299705,181
1824,振奋的青天魔帝,299706,299877,172
1825,冲击大帝的方法,299878,300037,160
1826,九劫的混沌魔星藤,300038,300209,172
1827,准备行动,300210,300378,169
1828,正在冲关的叶青瓷,300379,300529,151
1829,方尘道友，我们又见面了,300530,300698,169
1830,杀向魔族大陆,300699,300885,187
1831,不能让青天魔帝得逞,300886,301054,169
1832,杀进天魔谷,301055,301223,169
1833,一面红色盾牌,301224,301386,163
1834,方尘道友，干得漂亮,301387,301525,139
1835,琉璃剑宗人才辈出,301526,301697,172
1836,天魔散怎么还没发作?,301698,301917,220
1837,天魔水失效了,301918,302107,190
1838,青天魔帝出手,302108,302300,193
1839,魔帝也开始发疯了,302301,302433,133
1840,天人族的背叛,302434,302590,157
1841,天地翻转,302591,302747,157
1842,全是因为那把剑,302748,302904,157
1843,夺魔链，砍阵脉,302905,303067,163
1844,准仙器，天魔幡,303068,303278,211
1845,阵脉全断,303279,303447,169
1846,不用找了，他们都死了,303448,303595,148
1847,浮仙剑凿，黑石锤,303596,303755,160
1848,准帝全死,303756,303981,226
1849,青天魔帝突破了,303982,304156,175
1850,青天白日,304157,304337,181
1851,侮辱性极强,304338,304503,166
1852,全部吸进天魔幡,304504,304681,178
1853,弥天网，血魔鼎,304682,304832,151
1854,降金雨，开金莲,304833,305007,175
1855,天魔幡的阵纹破绽,305008,305149,142
1856,百万魔刀,305150,305312,163
1857,必须要死一个,305313,305469,157
1858,陷入绝境的青天魔帝,305470,305620,151
1859,青天魔帝自爆,305621,305777,157
1860,啃穿天魔幡,305778,305937,160
1861,灭漏网之鱼,305938,306127,190
1862,后悔的天人皇,306128,306275,148
1863,尸体留给魔星藤,306276,306441,166
1864,渡劫失败十倍返还,306442,306568,127
1865,狗头岭的竹林消失了,306569,306743,175
1866,这狗头岭不同寻常,306744,306876,133
1867,方尘苏醒，吞噬帝之源力,306877,307030,154
1868,收走血魔鼎,307031,307199,169
1869,离开天魔幡,307200,307365,166
1870,欢迎方尘长老回宗,307366,307549,184
1871,你已无需闯关,307550,307688,139
1872,火璃前辈，我回来了,307689,307845,157
1873,残魂状态悟性佳,307846,307984,139
1874,再炼通灵剑符,307985,308135,151
1875,青天魔帝到底死没死?,308136,308310,175
1876,潜力太大未必是好事,308311,308443,133
1877,可以去忘仙岛试试,308444,308543,100
1878,七彩通灵剑符,308544,308691,148
1879,让人去挖幻魔草,308692,308857,166
1880,准帝级的玄玉参王,308858,309017,160
1881,玄玉森林的蘑菇,309018,309195,178
1882,鹤姐她回家了,309196,309391,196
1883,炼制幻魔丹,309392,309551,160
1884,七彩豆荚,309552,309702,151
1885,试药狂人古虞前辈,309703,309856,154
1886,味道太香，有酒更好,309857,310022,166
1887,这丹药后劲有些大,310023,310203,181
1888,小鹤也做梦了,310204,310387,184
1889,黑白圣果,310388,310535,148
1890,全都给小鹤吃吧,310536,310716,181
1891,差点被遗忘的通天魔链,310717,310906,190
1892,收服通天魔链,310907,311096,190
1893,小鹤醒来,311097,311241,145
1894,灵鹤空间的变化,311242,311458,217
1895,准备售卖幻魔丹,311459,311606,148
1896,穿越蛮荒之海,311607,311793,187
1897,发现生命禁区,311794,311953,160
1898,黑玉噬魂虾,311954,312089,136
1899,通天魔链真好用,312090,312249,160
1900,蜕壳脱困，灭虾王,312250,312424,175
1901,去找大虾皇,312425,312596,172
1902,黑玉噬魂虾皇出现,312597,312768,172
1903,实力比青天魔帝还强,312769,312907,139
1904,拴住了你就别想跑,312908,313064,157
1905,遛虾是一种什么体验?,313065,313224,160
1906,大人饶命啊,313225,313387,163
1907,虾皇的阴谋,313388,313556,169
1908,有种你爆一个给我看看,313557,313752,196
1909,石头上的眼睛,313753,313912,160
1910,生命之眼,313913,314105,193
1911,来都来了，肯定要进去看看,314106,314280,175
1912,一条沉睡的翼龙,314281,314446,166
1913,翼龙醒来,314447,314624,178
1914,一剑砍掉两百三十年,314625,314799,175
1915,攒够力量再出来,314800,314938,139
1916,我看你能坚持多久,314939,315092,154
1917,第二剑，生机断绝,315093,315255,163
1918,寿元提升二十年,315256,315412,157
1919,树木不长叶子长羽毛,315413,315548,136
1920,效仿古之大帝，平禁区,315549,315690,142
1921,混沌噬神蜂的实力,315691,315814,124
1922,天人族古皇,315815,315980,166
1923,一剑砍死个男的,315981,316122,142
1924,抱着美女一浪接一浪,316123,316303,181
1925,天人绝恋,316304,316439,136
1926,我不想去仙界,316440,316578,139
1927,吸收天人族男子的力量,316579,316735,157
1928,把结界都吞噬了,316736,316868,133
1929,被诅咒的忘仙岛,316869,317031,163
1930,下次别让我再遇到你,317032,317179,148
1931,一朵石莲,317180,317330,151
1932,把棺材板压住,317331,317517,187
1933,石棺内部的空间,317518,317695,178
1934,神秘水滴,317696,317849,154
1935,水滴中的美女,317850,318003,154
1936,红色莲花中的女子,318004,318133,130
1937,红莲女帝?,318134,318326,193
1938,公子，过来玩呀,318327,318510,184
1939,红莲之力,318511,318670,160
1940,琉璃剑宗的现状,318671,318815,145
1941,试一下红莲之力,318816,318990,175
1942,疯狂撞钟的黑炎龙狮兽,318991,319198,208
1943,欢迎人皇降临无忧谷,319199,319358,160
1944,三天解决一位妖皇,319359,319557,199
1945,妖族大能的传承之地,319558,319738,181
1946,一棵树，一只龟,319739,319883,145
1947,被吸进龟壳,319884,320046,163
1948,望先龟，未来时空的画面,320047,320260,214
1949,半仙境界的望先龟,320261,320423,163
1950,天地意志的走狗,320424,320565,142
1951,两百年后，乾坤咒,320566,320728,163
1952,人皇竟然有准仙器,320729,320891,163
1953,那些生命禁区都被我推平了,320892,321084,193
1954,实力暴涨的琉璃剑宗,321085,321214,130
1955,青草大阵内的胚胎,321215,321359,145
1956,青草大阵的阵灵,321360,321537,178
1957,无法复活望先龟,321538,321727,190
1958,望先龟最后的选择,321728,321854,127
1959,先练降魔咒，再练乾坤咒,321855,322023,169
1960,威力惊人的降魔咒,322024,322216,193
1961,手搓咒文,322217,322421,205
1962,乾坤咒成功,322422,322629,208
1963,灵心宫主的召唤,322630,322831,202
1964,准仙器，往生镜,322832,322991,160
1965,往生镜中的石磨,322992,323157,166
1966,窥探未来,323158,323329,172
1967,往生镜破碎,323330,323513,184
1968,不接受叛徒,323514,323652,139
1969,应对之策,323653,323824,172
1970,再临佛土,323825,323999,175
1971,金泉海，瞬间移动,324000,324156,157
1972,不要脸的天人皇,324157,324340,184
1973,金泉海与青草大阵融合,324341,324524,184
1974,大家一起修佛法,324525,324690,166
1975,那万佛战经太神奇了,324691,324862,172
1976,天人皇求见,324863,325037,175
1977,大劫降临,325038,325224,187
1978,仙界重现?,325225,325414,190
1979,大日佛帝出现,325415,325595,181
1980,空间裂缝中的触手,325596,325764,169
1981,血色漩涡,325765,325942,178
1982,悲催的天人族,325943,326105,163
1983,蛮荒之海干枯,326106,326307,202
1984,空间裂缝消失,326308,326479,172
1985,来自圣土的魔族,326480,326624,145
1986,诱敌深入,326625,326778,154
1987,圣人击的敌人出现,326779,326917,139
1988,准帝级敌人到来,326918,327080,163
1989,大帝降临,327081,327255,175
1990,大帝的实力,327256,327424,169
1991,调动天地本源,327425,327584,160
1992,大帝的法相天地,327585,327732,148
1993,黄昏之力vs大帝,327733,327892,160
1994,黑色石头的妙用,327893,328049,157
1995,一刀斩破金泉海,328050,328194,145
1996,黑色轮盘,328195,328363,169
1997,又中一剑,328364,328529,166
1998,黑色罗盘太恐怖,328530,328650,121
1999,简单粗暴,328651,328798,148
2000,积聚帝之源力,328799,328919,121
2001,火璃准帝出关,328920,329091,172
2002,火璃准帝vs血狱魔帝,329092,329260,169
2003,大帝陨落，天地同悲,329261,329444,184
2004,魔军溃败,329445,329640,196
2005,准备炼化大帝尸体,329641,329806,166
2006,吸收大帝尸体的能量,329807,329957,151
2007,无可救药的伪魔族,329958,330123,166
2008,大成准帝，方尘,330124,330289,166
2009,终成大帝,330290,330500,211
2010,六千年的寿元,330501,330687,187
2011,降魔咒的威力,330688,330838,151
2012,进入大弈魔界,330839,330998,160
2013,血云消失见天日,330999,331122,124
2014,主人看起来好可怜,331123,331267,145
2015,琉璃塔的神秘波动,331268,331430,163
2016,琉璃塔，准仙器,331431,331644,214
2017,九色花,331645,331780,136
2018,琉璃天帝,331781,331949,169
2019,大劫起源,331950,332052,103
2020,魔族的背叛,332053,332167,115
2021,天外天,332168,332315,148
2022,万年后再相见,332316,332493,178
2023,收不进灵鹤空间,332494,332701,208
2024,叶青瓷出来了,332702,332888,187
2025,让师尊先来,332889,333033,145
2026,苏醒的伪魔族,333034,333178,145
2027,混沌魔星藤的超强战力,333179,333341,163
2028,天竺城的畅所欲言,333342,333477,136
2029,那些大帝还没死,333478,333622,145
2030,这星辰引有问题,333623,333776,154
2031,推演星辰引,333777,333954,178
2032,星空深处的巨人,333955,334111,157
2033,全新的星辰引,334112,334283,172
2034,再遇冰晶独角虎,334284,334419,136
2035,闭关参悟功法,334420,334603,184
2036,大范围收集功法,334604,334772,169
2037,太阳之力破封印,334773,334932,160
2038,脑海中的神秘画面,334933,335083,151
2039,太阳的结界,335084,335216,133
2040,星辰引，灵气诀，浮仙诀,335217,335352,136
2041,功法完成,335353,335506,154
2042,一分为九,335507,335624,118
2043,准备推广,335625,335790,166
2044,召集弟子回宗,335791,335956,166
2045,全属性功法,335957,336113,157
2046,炼制传承碑,336114,336243,130
2047,恐怖的帝兵天劫,336244,336376,133
2048,去找火璃前辈,336377,336551,175
2049,这石碑是极道帝兵?,336552,336717,166
2050,宫主，这画面你有印象吗?,336718,336880,163
2051,灵心宫主身后的黑手,336881,337058,178
2052,冥族的时空战士,337059,337230,172
2053,再见时空飞梭,337231,337390,160
2054,砍一下时空飞梭,337391,337544,154
2055,齐聚青草大阵核心,337545,337695,151
2056,全力以赴,337696,337825,130
2057,岳沧澜vs冥皇,337826,337970,145
2058,混沌种青莲,337971,338124,154
2059,精灵女皇对叶青瓷,338125,338272,148
2060,一招毙敌,338273,338423,151
2061,岳沧澜对叶青瓷,338424,338550,127
2062,一道红色的剑光,338551,338713,163
2063,火璃准帝的大帝劫,338714,338894,181
2064,金色火莲,338895,339087,193
2065,黑手再现，火璃大帝,339088,339292,205
2066,叶空出关,339293,339440,148
2067,瑶池圣地的封魔地,339441,339594,154
2068,又见天魔羽,339595,339733,139
2069,一对巨大的黑色翅膀,339734,339887,154
2070,黑色羽翼周围的结界,339888,340035,148
2071,黄昏之力破阵,340036,340201,166
2072,陨石的动静,340202,340331,130
2073,吸收黑色羽翼的精血,340332,340488,157
2074,花道友应该是突破了,340489,340669,181
2075,花花大帝?,340670,340886,217
2076,叶青瓷的大帝劫,340887,341067,181
2077,四位大帝,341068,341245,178
2078,来看一下分身,341246,341399,154
2079,原始浮仙诀,341400,341595,196
2080,齐聚封魔空间,341596,341773,178
2081,混沌噬心虫突破,341774,341921,148
2082,吞天塔来当通道,341922,342099,178
2083,九个分身，九个大帝,342100,342310,211
2084,隔绝召唤,342311,342491,181
2085,忽然增强的召唤感,342492,342684,193
2086,用九界塔顶替,342685,342871,187
2087,离开蛮荒大陆,342872,343064,193
2088,魔星藤的毒,343065,343236,172
2089,来自天外天的人,343237,343414,178
2090,真仙,343415,343601,187
2091,两位仙王,343602,343755,154
2092,身怀星辰之力,343756,343888,133
2093,抵达天外天,343889,344051,163
2094,天心殿,344052,344241,190
2095,蓝雨大帝,344242,344419,178
2096,仙器天河图,344420,344585,166
2097,玄黄真仙,344586,344721,136
2098,我们还有人,344722,344878,157
2099,琉璃真仙他不在,344879,345059,181
2100,大仙收徒,345060,345264,205
2101,金蝉岭,345265,345451,187
2102,噬心虫的洞府,345452,345644,193
2103,我可以杀他们吗?,345645,345834,190
2104,我打光头佬最有经验了,345835,346027,193
2105,杀灵鼠大帝,346028,346214,187
2106,狼刀大帝,346215,346395,181
2107,连杀两位大帝,346396,346594,199
2108,星云宫,346595,346736,142
2109,自混沌大仙的家乡,346737,346893,157
2110,灵钟大帝,346894,347095,202
2111,雷火大阵,347096,347246,151
2112,再杀大帝,347247,347442,196
2113,三连杀,347443,347614,172
2114,快用帝兵砸死他,347615,347831,217
2115,红莲之力，大帝都扛不住,347832,348033,202
2116,吃瓜群从也遭殃,348034,348235,202
2117,死道友不死贫道,348236,348392,157
2118,一千多个红莲大帝,348393,348552,160
2119,给虫子种天佛花,348553,348700,148
2120,清风大帝,348701,348863,163
2121,金蝉岭名人，方尘,348864,349023,160
2122,追踪,349024,349180,157
2123,虫将,349181,349340,160
2124,方尘的十重浪,349341,349473,133
2125,一剑灭虫将,349474,349603,130
2126,对手越多越兴奋,349604,349757,154
2127,像鞭炮一样炸裂,349758,349947,190
2128,一剑下去，从头炸到尾,349948,350152,205
2129,剑碎星河,350153,350351,199
2130,方尘的执念,350352,350475,124
2131,砍破巢穴,350476,350611,136
2132,虫皇出现,350612,350777,166
2133,短命虫皇,350778,350946,169
2134,好多红叶寿星草,350947,351118,172
2135,欲收巢穴,351119,351263,145
2136,不断变强的吞天塔,351264,351405,142
2137,仙术太贵,351406,351553,148
2138,浮仙变,351554,351698,145
2139,红叶寿星草到手,351699,351891,193
2140,易宝之地，金蝉宫,351892,352066,175
2141,你让大帝去摆摊?,352067,352223,157
2142,灵植师，云心大帝,352224,352386,163
2143,灵霞真仙,352387,352546,160
2144,白玉星魂果,352547,352682,136
2145,剑盟堂主的邀请,352683,352845,163
2146,对战清风大帝,352846,352990,145
2147,九宫八卦阵,352991,353150,160
2148,剑碎星河加诸神的黄昏,353151,353331,181
2149,灵霞真仙的疑惑,353332,353506,175
2150,降魔咒发威,353507,353696,190
2151,好多战利品,353697,353841,145
2152,一块白色石头,353842,354031,190
2153,方尘的洞府,354032,354248,217
2154,招惹了我还想跑?,354249,354432,184
2155,服用白玉星魂果,354433,354580,148
2156,虚空之莲,354581,354737,157
2157,三朵虚空之莲,354738,354933,196
2158,主动出手,354934,355087,154
2159,落星古城废墟,355088,355286,199
2160,矿洞中的仙药园,355287,355452,166
2161,仙草要成熟了,355453,355624,172
2162,连根挖起,355625,355808,184
2163,他们都被我杀了,355809,355995,187
2164,准仙器黑山印,355996,356164,169
2165,仙草到手,356165,356363,199
2166,再割一波,356364,356526,163
2167,就凭你还想杀我们?,356527,356716,190
2168,消失的大帝,356717,356927,211
2169,千元仙草精华,356928,357090,163
2170,第六朵虚空之莲,357091,357265,175
2171,打垮星云宫就放人,357266,357428,163
2172,梦幻仙露,357429,357621,193
2173,第八境巅峰,357622,357790,169
2174,八哥的本命灵珠,357791,357962,172
2175,星云宫主出关,357963,358110,148
2176,浮仙大帝，速速滚出来受死!,358111,358291,181
2177,你那药园，是我抢的!,358292,358451,160
2178,对战星云宫主,358452,358620,169
2179,星云宫主的实力,358621,358765,145
2180,实力不断提升,358766,358925,160
2181,剑碎星河斩星云大帝,358926,359082,157
2182,星云大世界,359083,359266,184
2183,黄沙城主的杀心,359267,359402,136
2184,星云大帝突破,359403,359574,172
